,rank,title,writer,year,citations,url,pdf_url,citations_url,explanation_detail,methodlist,objectlist,achivementlist
16,16.0,[書籍][B] 白色 LED 照明システム技術と応用,田口常正 -  - books.google.com,2008,7.0,https://books.google.co.jp/books?hl=ja&lr=lang_ja|lang_en&id=SXZ--kn-_ngC&oi=fnd&pg=PA1&dq=%E7%85%A7%E6%98%8E&ots=8YU0ZIMnno&sig=9phsrUhef91d2C80l-5dBoIl5Io,,"https://scholar.google.co.jp/scholar?cites=12520905564672078646&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,,[ 書籍 ][ B ] 白色 LED 照明 システム 技術 応用
17,17.0,知的照明システムにおける照度センサの位置推定を用いた消費電力の削減,"三木光範， 吉井拓郎， 小野景子… - 電子情報通信学会論文誌 D,  - search.ieice.org",2012,10.0,https://search.ieice.org/bin/summary.php?id=j95-d_10_1839,,"https://scholar.google.co.jp/scholar?cites=2984071535312109422&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,照度 センサ 位置 推定,知的 照明 システム,消費 電力 削減
18,18.0,トンネル照明における総視認率の検討,"岡田晃夫， 加賀啓記， 伊東勇人， 坂本正悦 - 照明学会誌,  - jstage.jst.go.jp",2006,7.0,https://www.jstage.jst.go.jp/article/jieij/90/8A/90_8A_495/_article/-char/ja/,,"https://scholar.google.co.jp/scholar?cites=13571671081458223854&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,トンネル 照明,視認 率 検討
19,19.0,小型高効率ランプを用いた多灯分散照明の提案とリビング・ダイニングにおける被験者評価及び省エネルギー性評価: 住宅における多灯分散照明による光環境の質と省エネルギー …,"三木保弘， 戸倉三和子， 浅田秀男… - 日本建築学会環境系論文集,  - jstage.jst.go.jp",2006,11.0,https://www.jstage.jst.go.jp/article/aije/71/603/71_KJ00004314081/_article/-char/ja/,,"https://scholar.google.co.jp/scholar?cites=4846684827016401811&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,小型 高 効率 ランプ 灯 分散 照明 提案 リビング ダイニング 被験者 評価 省エネルギー 性 評価 : 住宅 灯 分散 照明,,光 環境 質 省エネルギー
20,20.0,照明環境と観視者の視覚特性を考慮した液晶テレビの輝度制御に関する研究,"窪田悟， 澤裕記， 山川正樹， 中村芳知… - 電子情報通信学会技術 …,  - ci.nii.ac.jp",2006,10.0,https://ci.nii.ac.jp/naid/110004662649/,,"https://scholar.google.co.jp/scholar?cites=856278300981521302&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,,照明 環境 観 視 者 視覚 特性 考慮 液晶 テレビ 輝度 制御 研究
21,21.0,知的照明システムにおける照度センサに影響のある照明の抽出手法及びそれに伴う消灯制御,"三木光範， 東陽平， 吉田健太… - 電子情報通信学会論文誌 D,  - search.ieice.org",2013,7.0,https://search.ieice.org/bin/summary.php?id=j96-d_10_2418,,"https://scholar.google.co.jp/scholar?cites=16222152406960700642&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,知的 照明 システム,照度 センサ 影響 照明 抽出 手法 それ 消灯 制御
22,22.0,タスク照明の個人制御が知的生産性に与える影響に関する研究,"西川雅弥， 西原直枝， 田辺新一 - 日本建築学会環境系論文集,  - jstage.jst.go.jp",2006,8.0,https://www.jstage.jst.go.jp/article/aije/71/603/71_KJ00004314093/_article/-char/ja/,,"https://scholar.google.co.jp/scholar?cites=16721583146501304987&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,,タスク 照明 個人 制御 知的 生産 性 影響 研究
23,23.0,分散配置型の低照度街路照明の整備と評価,"小林茂雄， 鈴木竜一， 角舘政英 - 日本建築学会技術報告集,  - jstage.jst.go.jp",2012,7.0,https://www.jstage.jst.go.jp/article/aijt/18/38/18_38_233/_article/-char/ja/,,"https://scholar.google.co.jp/scholar?cites=2605526674216915343&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,,分散 配置 型 照度 街路 照明 整備 評価
24,24.0,鮮やかな光色で照明された食品に対する食欲,"小林茂雄 - 日本建築学会環境系論文集,  - jstage.jst.go.jp",2009,7.0,https://www.jstage.jst.go.jp/article/aije/74/637/74_637_271/_article/-char/ja/,,"https://scholar.google.co.jp/scholar?cites=14031188142145760173&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,鮮やか 光 色 照明 食品,食欲
25,25.0,ビューシーケンスに基づく照明変化に頑健な屋内外ナビゲーション,"山城容一朗， 怡土順一， 竹村憲太郎， 松本吉央… - 日本ロボット学会 …,  - jstage.jst.go.jp",2011,7.0,https://www.jstage.jst.go.jp/article/jrsj/27/7/27_7_768/_article/-char/ja/,,"https://scholar.google.co.jp/scholar?cites=1528616953667408284&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,ビューシーケンス,,照明 変化 頑健 屋内 外 ナビゲーション
26,26.0,建物開口部からの光を活かした夜間街路照明の提案: 富山市八尾町を対象として,"角舘政英， 小林茂雄， 海藤哲治… - 日本建築学会環境系論文集,  - jstage.jst.go.jp",2007,9.0,https://www.jstage.jst.go.jp/article/aije/72/612/72_KJ00004492327/_article/-char/ja/,,"https://scholar.google.co.jp/scholar?cites=5865947087100800391&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,建物 開口 部 光 夜間 街路 照明 提案 : 富山 市 八尾 町,
27,27.0,[引用][C] 茶室の 「かたち」 を解 (と) く: 建築家・村野籐吾の茶室を手本に (特集 数寄屋の道程: 自在に自然を取り入れる),"松�ｱ， 照明 - 住宅建築,  - ci.nii.ac.jp",2012,,https://ci.nii.ac.jp/naid/40019136473/,,,it is pdf or has not url,,,[ 引用 ][ C ] 茶室 かたち 解 ( ) : 建築 家 村野 籐 吾 茶室 手本 ( 特集 数寄屋 道程 : 自在 自然 )
28,28.0,[引用][C] ジョシュア・レノルズ卿の講話集: 翻訳と注解 第 3 講話,"相澤， 照明 - 佐賀大学文化教育学部研究論文集,  - ci.nii.ac.jp",2006,,https://ci.nii.ac.jp/naid/110004760922/,,,it is pdf or has not url,,,[ 引用 ][ C ] ジョシュア・レノルズ 卿 講話 集 : 翻訳 注解 3 講話
29,30.0,LED 照明の発展 (1): LED 照明の概要,"板東完治 - 照明学会誌= JOURNAL OF THE ILLUMINATING …,  - ci.nii.ac.jp",2008,4.0,https://ci.nii.ac.jp/naid/110006684467/,,"https://scholar.google.co.jp/scholar?cites=10824624556573679046&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,,LED 照明 発展 ( 1 ): LED 照明 概要
30,31.0,変調照明シフトによる超精密加工表面の超解像光学式欠陥計測に関する研究 (第 1 報),"臼杵深， 西岡宏晃， 高橋哲， 高増潔 - 精密工学会誌,  - jstage.jst.go.jp",2008,8.0,https://www.jstage.jst.go.jp/article/jjspe/74/5/74_5_498/_article/-char/ja/,,"https://scholar.google.co.jp/scholar?cites=665572325377637552&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,変調 照明 シフト,,精密 加工 表面 解 像 光学 式 欠陥 計測 研究 ( 1 報 )
31,32.0,有彩色光照明が視認性と雰囲気におよぼす影響,"井上容子 - 照明学会誌= JOURNAL OF THE ILLUMINATING …,  - ci.nii.ac.jp",2008,5.0,https://ci.nii.ac.jp/naid/110006894513/,,"https://scholar.google.co.jp/scholar?cites=17497742280614785947&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,,彩色 光 照明 視認 性 雰囲気 影響
32,33.0,屋内照明における不快グレアの研究,"石倉知永子， 上山大輔， 澤田朋克， 金谷末子 - 照明学会誌,  - jstage.jst.go.jp",2006,5.0,https://www.jstage.jst.go.jp/article/jieij/90/2/90_2_106/_article/-char/ja/,,"https://scholar.google.co.jp/scholar?cites=15770940815396993261&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,屋内 照明,不快 グレア 研究
33,34.0,有彩色光照明に関する研究報告: 防犯照明の課題,"井上容子 - 照明学会誌,  - ci.nii.ac.jp",2010,4.0,https://ci.nii.ac.jp/naid/110007682331/,,"https://scholar.google.co.jp/scholar?cites=413259273633446469&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,,彩色 光 照明 研究 報告 : 防犯 照明 課題
34,35.0,総論 LED 照明の現状と将来,"小紫正樹 - 照明学会誌,  - ci.nii.ac.jp",2010,4.0,https://ci.nii.ac.jp/naid/110007575157/,,"https://scholar.google.co.jp/scholar?cites=18310815571687461826&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,,総論 LED 照明 現状 将来
35,36.0,夜間街路における街路灯間隔および照明条件が歩行者の空間認知に及ぼす影響,"酒井史紀， 柳瀬亮太 - 日本建築学会計画系論文集,  - jlc.jst.go.jp",2008,6.0,http://jlc.jst.go.jp/JST.JSTAGE/aija/73.333?from=Google,,"https://scholar.google.co.jp/scholar?cites=13071748234415505119&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,夜間 街路,街路 灯 間隔 照明 条件 歩行 者 空間 認知 影響
36,37.0,照明変化に頑健な輝度近似平面の View Based Navigation への適用とその効果,"萩原良信， 清水幸夫， 崔龍雲， 久保田譲… - 電気学会論文誌 C (電子 …,  - jstage.jst.go.jp",2009,6.0,https://www.jstage.jst.go.jp/article/ieejeiss/129/11/129_11_2074/_article/-char/ja/,,"https://scholar.google.co.jp/scholar?cites=15635129278466012935&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,,照明 変化 頑健 輝度 近似 平面 View Based Navigation 適用 効果
37,38.0,顔の三次元見えモデルを用いた任意姿勢・照明変動下の顔画像認識,"石山塁， 濱中雅彦， 坂本静生 - 電子情報通信学会論文誌 D,  - search.ieice.org",2005,6.0,https://search.ieice.org/bin/summary.php?id=j88-d2_10_2069,,"https://scholar.google.co.jp/scholar?cites=14906215656131295641&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,顔 三 次元 見え モデル,,任意 姿勢 照明 変動 下 顔 画像 認識
38,40.0,SpaceRelighter: パターン投影による照明環境の再現 (「投影型インタフェース」 特集),"向川康博， 永井悠文， 大田友一 - 日本バーチャルリアリティ学会論文誌,  - jstage.jst.go.jp",2005,5.0,https://www.jstage.jst.go.jp/article/tvrsj/10/2/10_KJ00007498884/_article/-char/ja/,,"https://scholar.google.co.jp/scholar?cites=2528351754543751559&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,SpaceRelighter : パターン 投影,,照明 環境 再現 (「 投影 型 インタフェース 特集 )
39,41.0,白色 LED 照明光源による不快グレア,"高橋宏， 入倉隆， 戸田雅宏， 森山厳與 - 照明学会誌,  - jstage.jst.go.jp",2006,4.0,https://www.jstage.jst.go.jp/article/jieij/90/11/90_11_822/_article/-char/ja/,,"https://scholar.google.co.jp/scholar?cites=1380266566859723878&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,白色 LED 照明 光源,,不快 グレア
40,42.0,照明と照度センサ間の影響度をデータベース化する個別分散最適制御照明システム,"米本洋幸， 三木光範， 廣安知之… - 第  回全国大会講演論文 …,  - ipsj.ixsq.nii.ac.jp",2011,4.0,https://ipsj.ixsq.nii.ac.jp/ej/?action=pages_view_main&active_action=repository_view_main_item_detail&item_id=107822&item_no=1&page_id=13&block_id=8,,"https://scholar.google.co.jp/scholar?cites=16795569648219321501&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,,照明 照度 センサ 間 影響 度 データベース 化 個別 分散 最適 制御 照明 システム
41,43.0,繁華街の各種照明が夜間景観に与える影響に関する研究: 新宿区歌舞伎町 1 丁目を事例として,"李永桓， 後藤春彦， 李彰浩， 福武洋之 - 日本建築学会計画系論文集,  - jstage.jst.go.jp",2005,6.0,https://www.jstage.jst.go.jp/article/aija/70/598/70_KJ00004390392/_article/-char/ja/,,"https://scholar.google.co.jp/scholar?cites=12766204673743351532&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,,繁華 街 各種 照明 夜間 景観 影響 研究 : 新宿 区 歌舞伎町 1 丁目 事例
42,44.0,ニューラルネットワークによる照明光の変化を考慮したカテゴリカル色知覚モデル,"矢田紀子， 長尾智晴， 内川惠二 - 映像情報メディア学会誌,  - jstage.jst.go.jp",2005,5.0,https://www.jstage.jst.go.jp/article/itej1997/59/12/59_12_1809/_article/-char/ja/,,"https://scholar.google.co.jp/scholar?cites=9139475183655799624&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,ニューラルネットワーク,,照明 光 変化 考慮 カテゴリカル 色 知覚 モデル
43,45.0,照度のフィンガープリンティングとアクティブ照明制御に基づく屋内位置推定手法の提案,"坂本一樹， 孫為華， 柴田直樹， 安本慶一… - マルチメディア, 分散協調 …,  - ipsj.ixsq.nii.ac.jp",2011,5.0,https://ipsj.ixsq.nii.ac.jp/ej/?action=pages_view_main&active_action=repository_view_main_item_detail&item_id=79807&item_no=1&page_id=13&block_id=8,,"https://scholar.google.co.jp/scholar?cites=17412856377702259534&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,照度 フィンガー プリンティング アクティブ 照明 制御,,屋内 位置 推定 手法 提案
44,46.0,商業空間における照明環境と印象形成に関する研究,"笹井一樹， 岡本成功， 久野覚， 原田昌幸… - 照明学会 全国大会講演 …,  - ci.nii.ac.jp",2005,4.0,https://ci.nii.ac.jp/naid/130006953295/,,"https://scholar.google.co.jp/scholar?cites=7054407491050038815&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,商業 空間,照明 環境 印象 形成 研究
45,47.0,HD-Virtual における CG と照明のリアルタイム連動による映像効果,"佐々木剛， 戎達生， 飯田正博， 垰田嘉一 - 電子情報通信学会技術研究報告 …,  - ci.nii.ac.jp",2005,4.0,https://ci.nii.ac.jp/naid/110004021853/,,"https://scholar.google.co.jp/scholar?cites=12249321855531592774&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,HD - Virtual CG 照明 リアルタイム 連動,,映像 効果
46,48.0,"平均画像レベル, 観視者の年齢, 照明環境を考慮した液晶ディスプレイの輝度制御に関する研究","窪田悟， 羽原亮， 中村芳知， 山川正樹… - 電子情報通信学会技術 …,  - ci.nii.ac.jp",2007,5.0,https://ci.nii.ac.jp/naid/110006240171/,,"https://scholar.google.co.jp/scholar?cites=2315844138312264945&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,,平均 画像 レベル 観 視 者 年齢 照明 環境 考慮 液晶 ディスプレイ 輝度 制御 研究
47,49.0,大規模な知的照明システムに対応した照度センサ近傍照明の抽出手法,"池上久典， 松下昌平， 三木光範… - 電子情報通信学会論文誌 D,  - search.ieice.org",2015,4.0,https://search.ieice.org/bin/summary.php?id=j98-d_3_459,,"https://scholar.google.co.jp/scholar?cites=17334632417729374229&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,,規模 知的 照明 システム 対応 照度 センサ 近傍 照明 抽出 手法
48,50.0, 夜間の各種単波長の LED 照明が数種の鉢物の生育に及ぼす影響,"新井聡， 大石一史 - 愛知県農業総合試験場研究報告,  - pref.aichi.jp",2011,5.0,https://www.pref.aichi.jp/uploaded/attachment/29754.pdf,,"https://scholar.google.co.jp/scholar?cites=8919189589424580000&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",it is pdf or has not url,,,夜間 各種 波長 LED 照明 数 種 鉢物 生育 影響
49,51.0,黄色系天然染料染色布の展示照明による変退色挙動と CIE 美術・博物館照明基準による評価,"石井美恵， 河本康太郎， 齊藤昌子 - 照明学会誌,  - jstage.jst.go.jp",2006,4.0,https://www.jstage.jst.go.jp/article/jieij/90/5/90_5_281/_article/-char/ja/,,"https://scholar.google.co.jp/scholar?cites=12126206749208305620&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,黄色 系 天然 染料 染色 布 展示 照明,,変 退色 挙動 CIE 美術 博物館 照明 基準
50,52.0,算数 数学では何をいつ教えるのか-算数 数学教育の内容とその配列に関する調査報告書-算数 数学では何をいつ教えるのか-算数 数学教育の内容とその配列に関する調査報告 …,"…， 藤森章弘， 牧野宏， 元新一郎， 望月美樹， 森照明… - 日本数学教育学会 …,  - ci.nii.ac.jp",2008,7.0,https://ci.nii.ac.jp/naid/10020823540/,,"https://scholar.google.co.jp/scholar?cites=12314113498699338272&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,,算数 数学 何 いつ の - 算数 数学 教育 内容 配列 調査 報告 書 - 算数 数学 何 いつ の - 算数 数学 教育 内容 配列 調査 報告
51,53.0, LED を用いた快適照明空間を実現するための取組み,"小谷朋子， 東洋邦 - 東芝レビュー,  - toshiba.co.jp",2010,4.0,http://www.toshiba.co.jp/tech/review/2010/07/65_07pdf/a06.pdf,,"https://scholar.google.co.jp/scholar?cites=1454802071527593086&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",it is pdf or has not url,,LED 快適 照明 空間 実現,
52,54.0,商業街路における店舗照明と街路灯の適正光量,"小林茂雄 - 日本建築学会環境系論文集,  - jstage.jst.go.jp",2006,4.0,https://www.jstage.jst.go.jp/article/aije/71/599/71_KJ00004359383/_article/-char/ja/,,"https://scholar.google.co.jp/scholar?cites=1805123291579097628&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,商業 街路,店舗 照明 街路 灯 適正 光量
53,55.0,電球色及び昼光色蛍光灯照明下における知覚的白色領域,"江田哲也， 阿山みよし， 金谷末子， 向健二 - 照明学会誌,  - jstage.jst.go.jp",2005,4.0,https://www.jstage.jst.go.jp/article/jieij/89/2/89_2_91/_article/-char/ja/,,"https://scholar.google.co.jp/scholar?cites=8346430766893989684&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,電球 色 昼光色 蛍光 灯 照明 下,知覚 的 白色 領域
54,56.0,照明刺激環境下のくつろぎ感に関する心理生理学的研究,"中村透， 上垣百合子， 藤原ゆり， 奥谷晃久… - 電子情報通信学会 …,  - search.ieice.org",2013,5.0,https://search.ieice.org/bin/summary.php?id=j96-d_6_1536,,"https://scholar.google.co.jp/scholar?cites=5871021481430127626&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,,照明 刺激 環境 下 感 心理 生理学 的 研究
55,57.0,街路照明の分光特性が空間の明るさに及ぼす影響,"白倉公隆， 明石行生， 斎藤孝 - 照明学会誌,  - jstage.jst.go.jp",2012,4.0,https://www.jstage.jst.go.jp/article/jieij/96/5/96_259/_article/-char/ja/,,"https://scholar.google.co.jp/scholar?cites=14145638356103946284&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,,街路 照明 分光 特性 空間 さ 影響
56,58.0,再照明付与による複合現実空間のルック変更の試み: MR-PreViz 映像への映画的照明演出を例として,"一刈良介， 西沢孝浩， 大島登志一， 柴田史久… - … リアリティ学会論文誌,  - jstage.jst.go.jp",2010,4.0,https://www.jstage.jst.go.jp/article/tvrsj/15/2/15_KJ00007475493/_article/-char/ja/,,"https://scholar.google.co.jp/scholar?cites=2574487452961234189&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,照明 付与,,複合 現実 空間 ルック 変更 試み : MR - PreViz 映像 映画 的 照明 演出 例
57,59.0,街路に隣接する空地の見通しを高めた屋外照明の提案: 岐阜県白川村の平瀬地区を対象として,"小林茂雄， 角舘政英， 名取大輔 - 日本建築学会環境系論文集,  - jstage.jst.go.jp",2007,5.0,https://www.jstage.jst.go.jp/article/aije/72/621/72_KJ00004783842/_article/-char/ja/,,"https://scholar.google.co.jp/scholar?cites=9122626558192316771&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,街路 隣接 空地 見通し 屋外 照明 提案 : 岐阜 県 白川 村 平瀬 地区,
58,60.0, 快適な照明環境と省エネを実現する蛍光ランプ用電子安定器,"垣谷勉， 北村紀之 - 東芝レビュー,  - toshiba.co.jp",2005,4.0,http://www.toshiba.co.jp/tech/review/2005/07/60_07pdf/a0404.pdf,,"https://scholar.google.co.jp/scholar?cites=13013055889489022954&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",it is pdf or has not url,,,快適 照明 環境 省エネ 実現 蛍光 ランプ 用 電子 安定 器
